form,id,race,tag,rating,vProtoss,vTerran,vZerg
"{'P': [11, 5], 'T': [10, 8], 'Z': [4, 4], 'total': [25, 17]}",485,0,Serral,3719.0,3797.0,3843.0,3516.0
"{'P': [65, 39], 'T': [23, 7], 'Z': [22, 8], 'total': [110, 54]}",5878,1,Clem,3625.0,3607.0,3482.0,3786.0
"{'P': [115, 62], 'T': [92, 32], 'Z': [38, 12], 'total': [247, 106]}",233,2,herO,3458.0,3205.0,3604.0,3563.0
"{'P': [123, 34], 'T': [69, 24], 'Z': [39, 14], 'total': [231, 72]}",19591,2,MaxPax,3445.0,3284.0,3538.0,3512.0
"{'P': [14, 12], 'T': [8, 4], 'Z': [6, 4], 'total': [28, 20]}",49,1,Maru,3410.0,3389.0,3390.0,3452.0
"{'P': [58, 31], 'T': [36, 16], 'Z': [31, 10], 'total': [127, 57]}",186,2,Classic,3391.0,3215.0,3523.0,3436.0
"{'P': [16, 9], 'T': [7, 11], 'Z': [13, 7], 'total': [36, 27]}",5414,0,Reynor,3363.0,3483.0,3401.0,3206.0
"{'P': [54, 55], 'T': [22, 10], 'Z': [23, 8], 'total': [101, 73]}",1665,1,Cure,3306.0,3073.0,3435.0,3412.0
"{'P': [130, 110], 'T': [64, 18], 'Z': [53, 20], 'total': [247, 148]}",47,1,ByuN,3215.0,3050.0,3318.0,3278.0
"{'P': [45, 23], 'T': [32, 26], 'Z': [13, 2], 'total': [92, 51]}",1793,0,Solar,3172.0,3271.0,3172.0,3074.0
"{'P': [43, 39], 'T': [19, 12], 'Z': [21, 9], 'total': [83, 60]}",2170,2,ShoWTimE,3111.0,2940.0,3166.0,3226.0
"{'P': [15, 23], 'T': [30, 17], 'Z': [14, 12], 'total': [59, 52]}",2053,2,Zoun,3069.0,2860.0,3227.0,3120.0
"{'P': [34, 33], 'T': [8, 6], 'Z': [5, 3], 'total': [49, 43]}",1662,0,Rogue,3050.0,3051.0,3090.0,3008.0
"{'P': [9, 20], 'T': [2, 8], 'Z': [4, 0], 'total': [15, 28]}",44,1,GuMiho,3037.0,2777.0,3127.0,3207.0
"{'P': [14, 7], 'T': [2, 9], 'Z': [3, 5], 'total': [19, 21]}",4134,2,Astrea,2951.0,2805.0,2999.0,3050.0
"{'P': [45, 33], 'T': [14, 21], 'Z': [4, 5], 'total': [63, 59]}",117,0,SHIN,2939.0,3091.0,3051.0,2676.0
"{'P': [13, 30], 'T': [2, 3], 'Z': [5, 6], 'total': [20, 39]}",1517,1,Bunny,2924.0,2815.0,2922.0,3036.0
"{'P': [13, 14], 'T': [28, 13], 'Z': [4, 5], 'total': [45, 32]}",21244,2,trigger,2915.0,2901.0,3041.0,2803.0
"{'P': [17, 20], 'T': [4, 2], 'Z': [3, 2], 'total': [24, 24]}",258,1,HeroMarine,2858.0,2918.0,2714.0,2943.0
"{'P': [68, 62], 'T': [51, 34], 'Z': [27, 16], 'total': [150, 112]}",2,2,Creator,2853.0,2742.0,2864.0,2954.0
"{'P': [55, 41], 'T': [37, 32], 'Z': [30, 10], 'total': [124, 83]}",8148,2,NightMare,2839.0,2753.0,2971.0,2793.0
"{'P': [12, 10], 'T': [1, 6], 'Z': [0, 0], 'total': [13, 16]}",4049,0,Lambo,2826.0,2991.0,2715.0,2773.0
"{'P': [13, 20], 'T': [12, 7], 'Z': [6, 6], 'total': [33, 33]}",35,1,Ryung,2823.0,2648.0,2949.0,2871.0
"{'P': [13, 18], 'T': [16, 6], 'Z': [11, 8], 'total': [40, 32]}",8676,2,SKillous,2819.0,2728.0,2898.0,2831.0
"{'P': [17, 11], 'T': [4, 3], 'Z': [1, 2], 'total': [22, 18]}",4452,1,Spirit,2818.0,2753.0,2643.0,3060.0
"{'P': [29, 19], 'T': [18, 15], 'Z': [8, 14], 'total': [55, 48]}",58,2,MaNa,2784.0,2791.0,2736.0,2825.0
"{'P': [5, 10], 'T': [1, 4], 'Z': [0, 0], 'total': [6, 14]}",1098,0,Cham,2751.0,2705.0,2691.0,2858.0
"{'P': [28, 21], 'T': [9, 5], 'Z': [2, 0], 'total': [41, 26]}",14887,2,Krystianer,2725.0,2692.0,2661.0,2820.0
"{'P': [11, 2], 'T': [4, 2], 'Z': [10, 3], 'total': [25, 7]}",1171,2,Strange,2621.0,2769.0,2520.0,2573.0
"{'P': [3, 6], 'T': [5, 1], 'Z': [0, 0], 'total': [8, 7]}",110,2,sOs,2592.0,2529.0,2809.0,2438.0
